founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Daniel Brain,27674,OneText,W23,Active,"['Fintech', 'Payments', 'Consumer', 'B2B', 'E-commerce']",San Francisco,https://onetext.com,https://www.linkedin.com/company/shop-with-onetext/,Frictionless payments via SMS,2,False,False,True,daniel-brain,https://www.linkedin.com/in/daniel-brain,True,High,True,True
Nikhil Rao,27673,Pynecone,W23,Active,"['Developer Tools', 'Open Source', 'Web Development', 'Infrastructure']",,https://pynecone.io,https://www.linkedin.com/company/pynecone-io/,Web apps in pure Python,2,False,True,False,nikhil-rao,https://www.linkedin.com/in/nikhil-rao,True,High,True,True
Alek Petuskey,27673,Pynecone,W23,Active,"['Developer Tools', 'Open Source', 'Web Development', 'Infrastructure']",,https://pynecone.io,https://www.linkedin.com/company/pynecone-io/,Web apps in pure Python,2,False,True,False,alek-petuskey,https://www.linkedin.com/in/alek-petuskey,True,High,True,True
Jin Kim,27671,Miracle,W23,Active,"['SaaS', 'B2B', 'Biotech', 'Healthcare']",San Francisco,http://miracleml.com,https://www.linkedin.com/company/miracleml/,Speed up clinical trials by connecting trial data sources into 1 view,1,False,False,True,jin-kim,https://www.linkedin.com/in/jin-kim,True,High,True,True
Samir Menon,27672,Blyss,W23,Active,"['Developer Tools', 'Hard Tech', 'Crypto / Web3', 'Security', 'Privacy']",San Francisco,https://blyss.dev/,https://www.linkedin.com/company/blyssprivacy/,"Leakproof data warehouse, built on homomorphic encryption.",2,False,True,False,samir-menon,https://www.linkedin.com/in/samir-menon,True,High,True,True
Neil Movva,27672,Blyss,W23,Active,"['Developer Tools', 'Hard Tech', 'Crypto / Web3', 'Security', 'Privacy']",San Francisco,https://blyss.dev/,https://www.linkedin.com/company/blyssprivacy/,"Leakproof data warehouse, built on homomorphic encryption.",2,False,True,False,neil-movva,https://www.linkedin.com/in/neil-movva,True,High,True,True
Khurram Aslam,27669,Laminate,W23,Active,"['Fintech', 'B2B', 'API']",New York,https://www.uselaminate.com,,,1,False,False,True,khurram-aslam,https://www.linkedin.com/in/khurram-aslam,False,Medium,True,True
Vlad Matsiiako,27664,Infisical,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Security', 'Open Source']",San Francisco,https://infisical.com,https://www.linkedin.com/company/infisical/,"Open-source, end-to-end encrypted secrets manager for developers",3,False,True,True,vlad-matsiiako,https://www.linkedin.com/in/vlad-matsiiako,True,High,True,True
Tuan Dang,27664,Infisical,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Security', 'Open Source']",San Francisco,https://infisical.com,https://www.linkedin.com/company/infisical/,"Open-source, end-to-end encrypted secrets manager for developers",3,False,True,True,tuan-dang,https://www.linkedin.com/in/tuan-dang,True,High,True,True
Maidul Islam,27664,Infisical,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Security', 'Open Source']",San Francisco,https://infisical.com,https://www.linkedin.com/company/infisical/,"Open-source, end-to-end encrypted secrets manager for developers",3,False,True,True,maidul-islam,https://www.linkedin.com/in/maidul-islam,True,High,True,True
Akash Gupta,27492,Nucleus,W23,Active,"['Finance', 'B2B', 'Identity', 'API']",San Francisco,https://www.usenucleus.io/,,AI-powered business onboarding & identity verification agent,3,False,False,True,akash-gupta,https://www.linkedin.com/in/akash-gupta,False,Medium,True,True
Anirudh Gubba,27492,Nucleus,W23,Active,"['Finance', 'B2B', 'Identity', 'API']",San Francisco,https://www.usenucleus.io/,,AI-powered business onboarding & identity verification agent,3,False,False,True,anirudh-gubba,https://www.linkedin.com/in/anirudh-gubba,False,Medium,True,True
Nikhil Kulkarni,27492,Nucleus,W23,Active,"['Finance', 'B2B', 'Identity', 'API']",San Francisco,https://www.usenucleus.io/,,AI-powered business onboarding & identity verification agent,3,False,False,True,nikhil-kulkarni,https://www.linkedin.com/in/nikhil-kulkarni,False,Medium,True,True
Neha Shah,27424,Mogara,W23,Active,"['Finance', 'B2B']",San Francisco,https://mogara.com,https://www.linkedin.com/company/mogara,Automatic software R&D capitalization ,2,False,False,True,neha-shah,https://www.linkedin.com/in/neha-shah,True,High,True,True
Jay Gokhale,27424,Mogara,W23,Active,"['Finance', 'B2B']",San Francisco,https://mogara.com,https://www.linkedin.com/company/mogara,Automatic software R&D capitalization ,2,False,False,True,jay-gokhale,https://www.linkedin.com/in/jay-gokhale,True,High,True,True
Aaron Cooper,27491,Sameday,W23,Active,"['Generative AI', 'B2B', 'Sales Enablement', 'Automation', 'AI']","Lehi, UT",https://www.gosameday.com/,https://www.linkedin.com/company/74740106/admin/,AI sales agents for home service businesses,2,True,False,True,aaron-cooper,https://www.linkedin.com/in/aaron-cooper,True,High,True,True
Max Forsey,27491,Sameday,W23,Active,"['Generative AI', 'B2B', 'Sales Enablement', 'Automation', 'AI']","Lehi, UT",https://www.gosameday.com/,https://www.linkedin.com/company/74740106/admin/,AI sales agents for home service businesses,2,True,False,True,max-forsey,https://www.linkedin.com/in/max-forsey,True,High,True,True
Nikhara Nirghin,27254,Chima,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'Generative AI', 'SaaS', 'B2B']",San Francisco,https://www.withchima.com/,https://www.linkedin.com/company/withchima,Building infrastructure tools to help large companies customize their…,2,True,True,True,nikhara-nirghin,https://www.linkedin.com/in/nikhara-nirghin,True,High,True,True
Kiara Nirghin,27254,Chima,W23,Active,"['Artificial Intelligence', 'Developer Tools', 'Generative AI', 'SaaS', 'B2B']",San Francisco,https://www.withchima.com/,https://www.linkedin.com/company/withchima,Building infrastructure tools to help large companies customize their…,2,True,True,True,kiara-nirghin,https://www.linkedin.com/in/kiara-nirghin,True,High,True,True
Scott Swarthout,27201,Lavo Life Sciences,W23,Active,"['AI-powered Drug Discovery', 'Machine Learning', 'Biotech', 'Drug discovery']",,https://www.lavo.ai/,https://www.linkedin.com/company/lavo-life-sciences/,AI for drug formulation,3,True,False,False,scott-swarthout,https://www.linkedin.com/in/scott-swarthout,True,High,True,True
Zach Glick,27201,Lavo Life Sciences,W23,Active,"['AI-powered Drug Discovery', 'Machine Learning', 'Biotech', 'Drug discovery']",,https://www.lavo.ai/,https://www.linkedin.com/company/lavo-life-sciences/,AI for drug formulation,3,True,False,False,zach-glick,https://www.linkedin.com/in/zach-glick,True,High,True,True
Derek Metcalf,27201,Lavo Life Sciences,W23,Active,"['AI-powered Drug Discovery', 'Machine Learning', 'Biotech', 'Drug discovery']",,https://www.lavo.ai/,https://www.linkedin.com/company/lavo-life-sciences/,AI for drug formulation,3,True,False,False,derek-metcalf,https://www.linkedin.com/in/derek-metcalf,True,High,True,True
Varun Varahabhotla,26884,AlphaWatch AI,W23,Active,"['Artificial Intelligence', 'Fintech', 'Finance', 'AI', 'AI Assistant']",San Francisco,https://alphawatch.ai,,AI copilot for hedge funds with trusted data,2,True,False,False,varun-varahabhotla,https://www.linkedin.com/in/varun-varahabhotla,False,Medium,True,True
