founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
['Julius Rachor',28018,Sanvivo,W23,Active,"['Marketplace', 'SaaS', 'Consumer Health Services', 'Delivery']","Munich, Germany",http://www.sanvivo.eu,https://www.linkedin.com/company/sanvivo-gmbh/,Shopify for pharmacies in Europe,4
'Dominic Haul',28018,Sanvivo,W23,Active,"['Marketplace', 'SaaS', 'Consumer Health Services', 'Delivery']","Munich, Germany",http://www.sanvivo.eu,https://www.linkedin.com/company/sanvivo-gmbh/,Shopify for pharmacies in Europe,4
'Nikolai Alemi Hariri',28018,Sanvivo,W23,Active,"['Marketplace', 'SaaS', 'Consumer Health Services', 'Delivery']","Munich, Germany",http://www.sanvivo.eu,https://www.linkedin.com/company/sanvivo-gmbh/,Shopify for pharmacies in Europe,4
'Sven Wildermann'],28018,Sanvivo,W23,Active,"['Marketplace', 'SaaS', 'Consumer Health Services', 'Delivery']","Munich, Germany",http://www.sanvivo.eu,https://www.linkedin.com/company/sanvivo-gmbh/,Shopify for pharmacies in Europe,4
['Royce Branning',28013,clearspace,W23,Active,"['Productivity', 'Digital Health']",San Francisco,https://getclearspace.com,https://www.linkedin.com/company/82817875,eliminate compulsive phone usage,2
'Oliver Hill'],28013,clearspace,W23,Active,"['Productivity', 'Digital Health']",San Francisco,https://getclearspace.com,https://www.linkedin.com/company/82817875,eliminate compulsive phone usage,2
['Ty Sharp',28019,inBuild,W23,Active,"['AI-Enhanced Learning', 'Fintech', 'Payments', 'Construction', 'Proptech']",San Francisco,https://www.inbuild.ai/,https://www.linkedin.com/company/inbuildai,Workflow Automation for Construction Finance ,2
'Ian Sharp'],28019,inBuild,W23,Active,"['AI-Enhanced Learning', 'Fintech', 'Payments', 'Construction', 'Proptech']",San Francisco,https://www.inbuild.ai/,https://www.linkedin.com/company/inbuildai,Workflow Automation for Construction Finance ,2
['Philipp Hadjimina',28008,Quazel,W23,Active,[],,https://quazel.com,https://www.linkedin.com/company/quazel,Language learning with a conversational AI Tutor,3
'Samuel Bissegger',28008,Quazel,W23,Active,[],,https://quazel.com,https://www.linkedin.com/company/quazel,Language learning with a conversational AI Tutor,3
