founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders
'Alex Hegevall Clarke'],28175,Pier,W23,Active,"['Developer Tools', 'Fintech', 'SaaS', 'B2B']",San Francisco,http://www.pier-finance.com,https://www.linkedin.com/company/pier-finance/,Stripe for Credit - End-to-end credit infra via API,2
['Jay Khatri',28141,highlight.io,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Open Source', 'Monitoring']",San Francisco,https://www.highlight.io/,https://www.linkedin.com/company/highlightrun,"The open source, fullstack monitoring platform: stop guessing why…",2
'Vadim Korolik'],28141,highlight.io,W23,Active,"['Developer Tools', 'SaaS', 'B2B', 'Open Source', 'Monitoring']",San Francisco,https://www.highlight.io/,https://www.linkedin.com/company/highlightrun,"The open source, fullstack monitoring platform: stop guessing why…",2
['Jen Herbach',28158,Adventris Pharmaceuticals,W23,Active,"['Biotech', 'Healthcare', 'Therapeutics', 'Drug discovery', 'Oncology']",San Francisco,https://adventris.com,,Adventris makes cancer vaccines,3
'William Collis',28158,Adventris Pharmaceuticals,W23,Active,"['Biotech', 'Healthcare', 'Therapeutics', 'Drug discovery', 'Oncology']",San Francisco,https://adventris.com,,Adventris makes cancer vaccines,3
'Mark Yarchoan'],28158,Adventris Pharmaceuticals,W23,Active,"['Biotech', 'Healthcare', 'Therapeutics', 'Drug discovery', 'Oncology']",San Francisco,https://adventris.com,,Adventris makes cancer vaccines,3
['Patrick Grossmann',28159,Invitris,W23,Active,"['Biotech', 'Nanotechnology', 'Drug discovery']","Munich, Germany",https://invitris.com/,https://www.linkedin.com/company/invitris/,Creating new protein-based drugs at scale,2
'Kilian Vogele'],28159,Invitris,W23,Active,"['Biotech', 'Nanotechnology', 'Drug discovery']","Munich, Germany",https://invitris.com/,https://www.linkedin.com/company/invitris/,Creating new protein-based drugs at scale,2
['Bucky Khan',28160,Finni Health,W23,Active,"['Health Tech', 'Digital Health', 'Healthcare']",San Francisco,https://www.finnihealth.com/,https://www.linkedin.com/company/finni-health/,Empowering Autism Care Providers to Go Independent,2
'Yilun Chen'],28160,Finni Health,W23,Active,"['Health Tech', 'Digital Health', 'Healthcare']",San Francisco,https://www.finnihealth.com/,https://www.linkedin.com/company/finni-health/,Empowering Autism Care Providers to Go Independent,2
['Aditya Sharma',28131,Untether Labs,W23,Active,[],,https://untetherlabs.com,https://www.linkedin.com/company/untetherlabs/,Scheduling software for digital health clinics to serve more…,2
'Lucas Della Bella'],28131,Untether Labs,W23,Active,[],,https://untetherlabs.com,https://www.linkedin.com/company/untetherlabs/,Scheduling software for digital health clinics to serve more…,2
