founder_name,company_id,company_name,batch,status,tags,location,website,company_linkedin,short_description,num_founders,is_ai,is_devtools,is_saas,linkedin_slug,linkedin_profile_estimated,has_company_linkedin,linkedin_confidence,is_recent_batch,is_priority_industry
Pauline Roteta,26713,Pasito,S22,Active,"['Health Tech', 'Insurance']",,https://joinpasito.com/,https://www.linkedin.com/company/pasitoinc/,Saving companies money on healthcare and payroll ,2,False,False,False,pauline-roteta,https://www.linkedin.com/in/pauline-roteta,True,High,True,False
Julie Scotland,26713,Pasito,S22,Active,"['Health Tech', 'Insurance']",,https://joinpasito.com/,https://www.linkedin.com/company/pasitoinc/,Saving companies money on healthcare and payroll ,2,False,False,False,julie-scotland,https://www.linkedin.com/in/julie-scotland,True,High,True,False
Michael Egan,26712,Bunting Labs,S22,Active,"['SaaS', 'GovTech', 'Geographic Information System', 'B2B', 'Data Visualization']",San Francisco,https://buntinglabs.com,https://www.linkedin.com/company/bunting-labs/,Digitize geospatial data locked on paper and in PDFs ,2,False,False,True,michael-egan,https://www.linkedin.com/in/michael-egan,True,High,True,True
Brendan Ashworth,26712,Bunting Labs,S22,Active,"['SaaS', 'GovTech', 'Geographic Information System', 'B2B', 'Data Visualization']",San Francisco,https://buntinglabs.com,https://www.linkedin.com/company/bunting-labs/,Digitize geospatial data locked on paper and in PDFs ,2,False,False,True,brendan-ashworth,https://www.linkedin.com/in/brendan-ashworth,True,High,True,True
Nick Browne,26711,Devyce,S22,Active,['Telecommunications'],"London, United Kingdom",https://devyce.com,https://www.linkedin.com/company/devyce,The global mobile network for business. ,2,False,False,False,nick-browne,https://www.linkedin.com/in/nick-browne,True,High,True,False
Edward Clayton,26711,Devyce,S22,Active,['Telecommunications'],"London, United Kingdom",https://devyce.com,https://www.linkedin.com/company/devyce,The global mobile network for business. ,2,False,False,False,edward-clayton,https://www.linkedin.com/in/edward-clayton,True,High,True,False
Yo Shibata,26710,Tailor,S22,Active,"['Developer Tools', 'SaaS', 'B2B', 'API', 'Enterprise']","Tokyo, Japan",https://tailor.tech/,https://www.linkedin.com/company/76263236/,Highly Customizable Headless ERP,2,False,True,True,yo-shibata,https://www.linkedin.com/in/yo-shibata,True,High,True,True
Misato Takahashi,26710,Tailor,S22,Active,"['Developer Tools', 'SaaS', 'B2B', 'API', 'Enterprise']","Tokyo, Japan",https://tailor.tech/,https://www.linkedin.com/company/76263236/,Highly Customizable Headless ERP,2,False,True,True,misato-takahashi,https://www.linkedin.com/in/misato-takahashi,True,High,True,True
Chandler Craig,26709,Dittofeed,S22,Active,"['Developer Tools', 'B2B', 'Open Source']","Los Angeles, CA",http://dittofeed.com,https://www.linkedin.com/company/dittofeed,Open-source customer engagement,2,False,True,True,chandler-craig,https://www.linkedin.com/in/chandler-craig,True,High,True,True
Maxwell Gurewitz,26709,Dittofeed,S22,Active,"['Developer Tools', 'B2B', 'Open Source']","Los Angeles, CA",http://dittofeed.com,https://www.linkedin.com/company/dittofeed,Open-source customer engagement,2,False,True,True,maxwell-gurewitz,https://www.linkedin.com/in/maxwell-gurewitz,True,High,True,True
Justin Clark,26706,Superpowered AI,S22,Active,"['Developer Tools', 'Generative AI', 'SaaS', 'B2B', 'AI']","Salt Lake City, UT",https://superpowered.ai,,Knowledge Base as a Service for LLM Applications,4,True,True,True,justin-clark,https://www.linkedin.com/in/justin-clark,False,Medium,True,True
Dillon Martin,26706,Superpowered AI,S22,Active,"['Developer Tools', 'Generative AI', 'SaaS', 'B2B', 'AI']","Salt Lake City, UT",https://superpowered.ai,,Knowledge Base as a Service for LLM Applications,4,True,True,True,dillon-martin,https://www.linkedin.com/in/dillon-martin,False,Medium,True,True
Nicholas Mccormick,26706,Superpowered AI,S22,Active,"['Developer Tools', 'Generative AI', 'SaaS', 'B2B', 'AI']","Salt Lake City, UT",https://superpowered.ai,,Knowledge Base as a Service for LLM Applications,4,True,True,True,nicholas-mccormick,https://www.linkedin.com/in/nicholas-mccormick,False,Medium,True,True
Zach Mccormick,26706,Superpowered AI,S22,Active,"['Developer Tools', 'Generative AI', 'SaaS', 'B2B', 'AI']","Salt Lake City, UT",https://superpowered.ai,,Knowledge Base as a Service for LLM Applications,4,True,True,True,zach-mccormick,https://www.linkedin.com/in/zach-mccormick,False,Medium,True,True
